lookback,breadth,sharpe,cagr,max_dd
63,0.2,0.23164357091957355,0.04103378395306745,-0.3803202181321515
63,0.3,0.00705845661755905,-0.010156593972636352,-0.37293403446106654
63,0.4,0.01948914453657652,-0.00713129019048242,-0.3469450847287699
63,0.5,-0.011525325161947878,-0.010381743062574778,-0.30400670756280623
63,0.6,0.03734681199613591,-0.003151956545668577,-0.28939971570098044
126,0.2,0.21942174674806858,0.022145147353512362,-0.2957684071304484
126,0.3,0.3152708296555753,0.03614216707934492,-0.20950236433521996
126,0.4,0.2959189857983821,0.03182467449981541,-0.279492201651983
126,0.5,0.08063149776351042,0.0019464977789489524,-0.3183795832756166
126,0.6,0.03382657661321731,-0.0036507184730323328,-0.29920896114330764
252,0.2,0.2600157047801605,0.029630767358953092,-0.33662613370839395
252,0.3,0.1855687671285981,0.016838004412350394,-0.3836988764936201
252,0.4,0.38850763225070084,0.04711599139276945,-0.24522719729501993
252,0.5,0.4204189650064545,0.04940969450340149,-0.22015070501130135
252,0.6,0.5340851452500416,0.062101567706432714,-0.25307655964872877
